name,location,date,description,phone,category,image
한양을 찾아온 보부상,충청남도 부여군,2024. 10. 15. | 11:00 ~ 18:00,"충남지역의 보부상 문화를 광화문 광장에서 만날 수 있는 특별한 축제이다. 조선시대부터 이어져 온 보부상의 역사와 전통을 생생하게 체험의 장으로, 전통 의상을 입어보고, 옛 장터의 모습을 구경하며, 보부상들의 중요한 의식인 공문제도 재현해 볼 수 있다. 충남 보부상의 독특한 문화유산을 즐기고,  보부상들의 지혜와 정신을 배우며, 우리의 뿌리를 되새기는 소중한 시간이 될 것이다.",041-630-2913,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728519865522.png
리얼 트레저 페스티벌,경기도,2024. 10. 12. ~ 10. 16. | 12:00 ~ 17:00,"세계 최대 규모의 보물찾기 대회인 <리얼 트레저 페스티벌>이 10월 12일부터 10월 16일까지 개최된다.
스마트폰만 있다면 즐길 수 있는 이번 행사는 경기도청 옛청사에서 진행되며 참가자는 첨단 기술을 활용한 가상 보물을 획득할 수 있다. 보물을 획득한 수, 랭킹에 따라 다양한 선물도 받아갈 수 있다.
이번 축제는 개막식을 시작으로, 메인 프로그램인 리얼 트레저, 부대 프로그램인 던전 트레저, 미스터리 테마파크, 보물 도둑을 찾아라!, 외계인 포획 대작전, 포토존 등이 함께 이루어진다. 본 축제는 무료로 참여 가능하며 사전 예약 등 자세한 사항은 홈페이지를 참고하면 된다.",02-6011-1070,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1727141135976.jpg
대한민국 김장김치축제,서울시 중구,2024. 10. 16. ~ 10. 17. | 10:00 ~ 18:00,"김치는 우리민족의 오랜 역사와 함께해온 소중한 문화유산이다.
제1회 대한민국 김장김치축제를 통해 김치의 깊은 맛과 다양한 조리법을 함께 나누고, 우리 전통 음식의 소중함을 되새길 수 있다.",02-6404-0166,먹거리,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728265240577.jpg
달빛가득 부평향교,인천시 계양구,2024. 10. 17. | 17:00~21:00,"2024 <달빛 가득 부평향교>는 병자호란이 끝난 후 새롭게 재건된 향교 속에서 다시 새롭게 맞이하는 삶을 축하하는 선비들의 잔치로 눈을 사로잡는 포토존, 다채로운 전통체험, 낭만적인 달빛 야외 음악회를 즐기며 향교를 살아 숨 쉬는 문화공간으로 향유한다.",032-450-5754,음악,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728520052903.jpg
한복사랑 인천시민 놀이마당,인천시 남동구,2024. 10. 19. | 15:00~19:00,"오는 10월 19일 인천광역시청 앞 인천애(愛)뜰에서 한복사랑 인천시민 놀이마당이 개최된다.
한복의 아름다움과 전통문화를 널리 알리고, 현대와 전통의 조화를 통해 한복의 가치를 보여주고자 하는 인천시 지역 행사이다. 인천시민 및 방문객에게 한복에 대한 즐거운 경험을 제공하여 한복의 대중화에 기여하고자 하는데 목표하고 있다. 전통한복 패션쇼부터 반려동물 한복 패션쇼까지 다양한 한복문화를 볼 수 있는 무대가 준비되어 있으며 전통예술 공연, 전통문화체험 등 다채로운 볼거리와 즐길 거리가 진행되는 행사이다.",070-5001-0266,가족,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728520391304.jpg
강릉시 반려동물문화축제,강원도 강릉시,2024. 10. 19. | 10:00~17:00,"제2회 강릉시 반려동물 문화축제 ""올림펫""이 강릉에서 2024년 10월 19일에 열린다. ?반려동물과 함께 다양한 프로그램에 참여하고, 특별한 추억을 만들 수 있다.  올림픽을 모티브로 한 다양한 경기와 메달, 이벤트가 진행된다.",033-813-0333,가족,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728520111781.jpg
YES! 키즈존,대구시 달성군,2024. 10. 19. | 13:00~20:30,"늦더위가 점점 식어가고 일상 속에 가을의 정취가 느껴지는 10월, 어린이들의 꿈과 상상력이 자라는 국립대구과학관에 생텍쥐페리의 동화 ""어린 왕자"" 세상이 펼쳐진다. 달성군의 가족 친화형 종합문화 예술축제 <YES! 키즈존>에는 남녀노소 즐길 수 있는 다채로운 문화공연과 어린이들이 동화 속을 누비며 즐길 수 있는 다양한 놀이 시설들, 온 가족이 함께 즐기며 추억을 남길 수 있는 색다른 체험 프로그램뿐 아니라 다양한 먹거리와 플리마켓 등의 풍성한 콘텐츠로 구성되어 있다.",053-668-4244,가족,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1728265316683.jpg
경주문화유산야행,경상북도 경주시,2024. 10. 18. ~ 10. 19. | 18:00~23:00,"경주 문화유산 야행은 7야15개 프로그램으로 구성되어 있으며, 그 속에 더욱 알차고 다양한 이야기가 들어있다. 신화와 설화, 그리고 경주만의 문화유산을 바탕으로 시민들과 관광객들에게 다양하고 흥미로운 역사문화 컨텐츠를 보여줄 예정이다.",054-779-6108,문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1727141301184.jpg
충청권생활문화축제,충청북도 청주시,2024. 10. 19. | 청남대 호수광장 및 음악분수대,"2024 충청권생활문화축제는 지자체 지정기관으로 공동협의체를 구성하고, 올해에는 충북 청주 청남대에서 각 기관에서 추천한 약 60여 개 팀의 공연과 전시·체험이 진행될 예정이다. 2022년도에는 대전, 2023년도에는 세종에서 축제를 개최한 바 있다. 10월 19일 오전 11시 청남대에서 시작되는 축제는 ▷통기타▷색소폰▷국악▷합창 등의 공연이 펼쳐지며 광장 내 부스 및 전시장에서는 ▷수채화▷스케치▷사진▷공예 등 다채로운 전시와 함께 그림그리기·즉석사진촬영·캐리커쳐 등 다양한 관객참여 이벤트를 진행할 예정이다.",043-224-9142,음악,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1727141208512.jpg
서대문 문화유산 야행,서울시 서대문구,2024. 10. 18. ~ 10. 19. | 17:00~22:00,"서울 서대문구는 오는 10월 18일(금)부터 19일(토)까지, 독립공원 일대에서 <2024 서대문 문화유산 야행>을 개최한다. 올해로 네 번째를 맞이하는 이번 행사는 <문학의 밤>이라는 주제로, 서대문이 지닌 역사와 문화유산을 문학적 감성 속에서 깊이 있게 체험할 수 있는 특별한 시간을 선사한다.
특히 올해는 국가유산 주간 선포식을 함께 진행하며, 서대문의 상징적 유산인 독립문, 서대문형무소 역사관, 국립 대한민국임시정부기념관 등에서 다채로운 프로그램이 펼쳐진다. 독립과 관련된 문학 작품과 문학인들의 이야기가 서대문 구석구석을 가득 채우며, 역사와 문학이 어우러지는 밤이 될 예정이다.","070-7575-2352, 2353",문화,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1726709228822.jpg
